BUILDINGNU,BUILDINGST,DIAMETER,SPECIES,BOROUGH,ZIPCODE
74A,TRINITY PLACE,6,PYCA,Manhattan,10006
74,TRINITY PLACE,5,PYCA,Manhattan,10006
2,WASHINGTON STREET,4,GLTR,Manhattan,10004
18,WASHINGTON STREET,10,GLTR,Manhattan,10004
26,WASHINGTON STREET,3,GLTR,Manhattan,10004
29,BROADWAY,15,PLAC,Manhattan,10006
78,TRINITY PLACE,4,PYCA,Manhattan,10006
74,TRINITY PLACE,7,PYCA,Manhattan,10006
17,BATTERY PLACE,9,GLTR,Manhattan,10004
2,WASHINGTON STREET,15,PLAC,Manhattan,10004
26,WASHINGTON STREET,8,GLTR,Manhattan,10004
21,WEST STREET,4,GLTR,Manhattan,10004
29,BROADWAY,5,GLTR,Manhattan,10006
29,BROADWAY,7,GLTR,Manhattan,10006
25,BROADWAY,2,UNK,Manhattan,10004
25,BROADWAY,2,UNK,Manhattan,10004
25,BROADWAY,3,GLTR,Manhattan,10004
11,GREENWICH STREET,2,UNK,Manhattan,10004
25,BROADWAY,3,GLTR,Manhattan,10004
25,BROADWAY,2,UNK,Manhattan,10004
25,BROADWAY,2,UNK,Manhattan,10004
90,WASHINGTON STREET,3,GLTR,Manhattan,10006
90,WASHINGTON STREET,4,PYCA,Manhattan,10006
90,WASHINGTON STREET,4,PYCA,Manhattan,10006
85,WEST STREET,5,STJA2,Manhattan,10006
125,BARCLAY STREET,4,GLTR,Manhattan,10007
125,BARCLAY STREET,5,GLTR,Manhattan,10007
125,BARCLAY STREET,4,GLTR,Manhattan,10007
125,BARCLAY STREET,11,QUPA,Manhattan,10007
125,BARCLAY STREET,3,QUPA,Manhattan,10007
125,BARCLAY STREET,10,QUPA,Manhattan,10007
125,BARCLAY STREET,11,QUPA,Manhattan,10007
125,BARCLAY STREET,10,QUPA,Manhattan,10007
13,HUDSON STREET,12,PYCA,Manhattan,10013
13,HUDSON STREET,9,PYCA,Manhattan,10013
13,HUDSON STREET,16,PYCA,Manhattan,10013
134,READE STREET,16,PYCA,Manhattan,10013
134,READE STREET,11,PYCA,Manhattan,10013
156,READE STREET,4,MEGL,Manhattan,10013
275,GREENWICH STREET,9,GLTR,Manhattan,10007
275,GREENWICH STREET,8,GLTR,Manhattan,10007
295,GREENWICH STREET,5,GLTR,Manhattan,10007
292,GREENWICH STREET,4,ACPL,Manhattan,10007
275,GREENWICH STREET,7,GLTR,Manhattan,10007
275,GREENWICH STREET,8,GLTR,Manhattan,10007
295,GREENWICH STREET,11,GLTR,Manhattan,10007
292,GREENWICH STREET,3,QUAC,Manhattan,10007
292,GREENWICH STREET,8,QUPA,Manhattan,10007
292,GREENWICH STREET,8,QUPA,Manhattan,10007
90,WASHINGTON STREET,3,GLTR,Manhattan,10006
90,WASHINGTON STREET,3,GLTR,Manhattan,10006
90,WASHINGTON STREET,4,PYCA,Manhattan,10006
75,WEST STREET,5,STJA2,Manhattan,10006
85,WEST STREET,4,STJA2,Manhattan,10006
125,BARCLAY STREET,4,GLTR,Manhattan,10007
125,BARCLAY STREET,5,GLTR,Manhattan,10007
101,BARCLAY STREET,7,GIBI,Manhattan,10007
101,MURRAY STREET,10,GIBI,Manhattan,10007
101,MURRAY STREET,7,GIBI,Manhattan,10007
101,MURRAY STREET,8,GIBI,Manhattan,10007
125,BARCLAY STREET,4,QUPA,Manhattan,10007
125,BARCLAY STREET,5,QUPA,Manhattan,10007
101,BARCLAY STREET,6,GIBI,Manhattan,10007
101,BARCLAY STREET,8,GIBI,Manhattan,10007
101,MURRAY STREET,7,GIBI,Manhattan,10007
101,MURRAY STREET,6,GIBI,Manhattan,10007
101,MURRAY STREET,6,GIBI,Manhattan,10007
101,BARCLAY STREET,7,GIBI,Manhattan,10007
101,BARCLAY STREET,6,GIBI,Manhattan,10007
101,BARCLAY STREET,6,GIBI,Manhattan,10007
75,PARK PLACE,5,GLTR,Manhattan,10007
75,PARK PLACE,6,GLTR,Manhattan,10007
275,GREENWICH STREET,5,GLTR,Manhattan,10007
275,GREENWICH STREET,5,GLTR,Manhattan,10007
275,GREENWICH STREET,7,GLTR,Manhattan,10007
200,CHAMBERS STREET,9,ULAM,Manhattan,10007
75,PARK PLACE,5,GLTR,Manhattan,10007
75,PARK PLACE,6,GLTR,Manhattan,10007
275,GREENWICH STREET,5,GLTR,Manhattan,10007
275,GREENWICH STREET,5,GLTR,Manhattan,10007
275,GREENWICH STREET,5,GLTR,Manhattan,10007
200,CHAMBERS STREET,8,ULAM,Manhattan,10007
292,GREENWICH STREET,9,QUPA,Manhattan,10007
292,GREENWICH STREET,10,QUPA,Manhattan,10007
292,GREENWICH STREET,9,QUPA,Manhattan,10007
292,GREENWICH STREET,8,QUPA,Manhattan,10007
121,READE STREET,6,PYCA,Manhattan,10013
121,READE STREET,7,PYCA,Manhattan,10013
151,READE STREET,11,PYCA,Manhattan,10013
151,READE STREET,11,PYCA,Manhattan,10013
303,GREENWICH STREET,4,GLTR,Manhattan,10013
311,GREENWICH STREET,12,PYCA,Manhattan,10013
292,GREENWICH STREET,8,QUPA,Manhattan,10007
121,READE STREET,5,PYCA,Manhattan,10013
151,READE STREET,12,PYCA,Manhattan,10013
151,READE STREET,13,PYCA,Manhattan,10013
151,READE STREET,13,PYCA,Manhattan,10013
303,GREENWICH STREET,4,GLTR,Manhattan,10013
311,GREENWICH STREET,13,PYCA,Manhattan,10013
167,CHAMBERS STREET,2,PYCA,Manhattan,10007
311,GREENWICH STREET,13,PYCA,Manhattan,10013
167,CHAMBERS STREET,2,PYCA,Manhattan,10007
147,CHAMBERS STREET,6,PYCA,Manhattan,10007
5,HUDSON STREET,6,PYCA,Manhattan,10013
144,CHAMBERS STREET,3,TIAM,Manhattan,10007
164,CHAMBERS STREET,8,GLTR,Manhattan,10007
166,CHAMBERS STREET,6,GLTR,Manhattan,10007
295,GREENWICH STREET,9,GLTR,Manhattan,10007
147,CHAMBERS STREET,5,PYCA,Manhattan,10007
5,HUDSON STREET,6,PYCA,Manhattan,10013
5,HUDSON STREET,8,PYCA,Manhattan,10013
164,CHAMBERS STREET,6,GLTR,Manhattan,10007
166,CHAMBERS STREET,8,GLTR,Manhattan,10007
295,GREENWICH STREET,7,GLTR,Manhattan,10007
295,GREENWICH STREET,8,GLTR,Manhattan,10007
295,GREENWICH STREET,8,GLTR,Manhattan,10007
295,GREENWICH STREET,9,GLTR,Manhattan,10007
295,GREENWICH STREET,8,GLTR,Manhattan,10007
295,GREENWICH STREET,9,GLTR,Manhattan,10007
295,GREENWICH STREET,8,GLTR,Manhattan,10007
102,BEDFORD STREET,7,FRPE,Manhattan,10014
102-104,BEDFORD STREET,8,FRPE,Manhattan,10014
107,BEDFORD STREET,8,TICO,Manhattan,10014
115,BEDFORD STREET,8,TICO,Manhattan,10014
2,GROVE STREET,2,ZESE,Manhattan,10014
12,GROVE STREET,13,PLAC,Manhattan,10014
74,GROVE STREET,0,,Manhattan,10014
100,BEDFORD STREET,7,FRPE,Manhattan,10014
104-106,BEDFORD STREET,7,FRPE,Manhattan,10014
104-106,BEDFORD STREET,6,FRPE,Manhattan,10014
113,BEDFORD STREET,9,SYRE,Manhattan,10014
2,GROVE STREET,8,TICO,Manhattan,10014
6,GROVE STREET,11,GIBI,Manhattan,10014
10,GROVE STREET,12,PLAC,Manhattan,10014
14,GROVE STREET,7,PR,Manhattan,10014
74,GROVE STREET,0,,Manhattan,10014
322,BLEECKER STREET,7,TICO,Manhattan,10014
88,7 AVENUE SOUTH,14,PYCA,Manhattan,10014
87,7 AVENUE SOUTH,2,STJA2,Manhattan,10014
633,BROADWAY,12,TICO,Manhattan,10012
87,7 AVENUE SOUTH,2,STJA2,Manhattan,10014
303,BLEECKER STREET,16,TICO,Manhattan,10014
87,7 AVENUE SOUTH,6,STJA2,Manhattan,10014
303,BLEECKER STREET,14,TICO,Manhattan,10014
490,HUDSON STREET,2,GIBI,Manhattan,10014
490,HUDSON STREET,6,FRPE,Manhattan,10014
100,BEDFORD STREET,7,FRPE,Manhattan,10014
102,BEDFORD STREET,7,FRPE,Manhattan,10014
104-106,BEDFORD STREET,9,PYCA,Manhattan,10014
110,BEDFORD STREET,9,PYCA,Manhattan,10014
923,5 AVENUE,10,,Manhattan,10021
490,HUDSON STREET,10,GIBI,Manhattan,10014
490,HUDSON STREET,8,GIBI,Manhattan,10014
490,HUDSON STREET,9,STJA2,Manhattan,10014
100,BEDFORD STREET,8,FRPE,Manhattan,10014
104-106,BEDFORD STREET,8,GIBI,Manhattan,10014
110,BEDFORD STREET,7,PYCA,Manhattan,10014
110,BEDFORD STREET,2,GIBI,Manhattan,10014
135,CHRISTOPHER STREET,16,QUPH,Manhattan,10014
131,CHRISTOPHER STREET,9,FRPE,Manhattan,10014
135,CHRISTOPHER STREET,7,QUPH,Manhattan,10014
139,CHRISTOPHER STREET,7,PYCA,Manhattan,10014
143,CHRISTOPHER STREET,9,GLTR,Manhattan,10014
159,CHRISTOPHER STREET,2,GLTR,Manhattan,10014
133,CHRISTOPHER STREET,14,PLAC,Manhattan,10014
139,CHRISTOPHER STREET,10,ROPS,Manhattan,10014
133,CHRISTOPHER STREET,7,QUPH,Manhattan,10014
137A,CHRISTOPHER STREET,9,FRPE,Manhattan,10014
139,CHRISTOPHER STREET,7,TICO,Manhattan,10014
147,CHRISTOPHER STREET,5,GLTR,Manhattan,10014
159,CHRISTOPHER STREET,9,GLTR,Manhattan,10014
149-155,CHRISTOPHER STREET,5,TADI,Manhattan,10014
143,CHRISTOPHER STREET,7,PYCA,Manhattan,10014
149-155,CHRISTOPHER STREET,7,PYCA,Manhattan,10014
154,CHRISTOPHER STREET,7,PYCA,Manhattan,10014
158,CHRISTOPHER STREET,7,PYCA,Manhattan,10014
160,CHRISTOPHER STREET,7,PYCA,Manhattan,10014
149-155,CHRISTOPHER STREET,5,TADI,Manhattan,10014
158,CHRISTOPHER STREET,6,TADI,Manhattan,10014
158,CHRISTOPHER STREET,5,TADI,Manhattan,10014
10,SPRING STREET,0,0,Manhattan,10012
20,SPRING STREET,2,PYCA,Manhattan,10012
12,SPRING STREET,7,GIBI,Manhattan,10012
5,SPRING STREET,3,QUAC,Manhattan,10012
14,SPRING STREET,3,ULAM,Manhattan,10012
16,SPRING STREET,6,TICO,Manhattan,10012
26,SPRING STREET,2,ACPA,Manhattan,10012
21,SPRING STREET,14,GLTR,Manhattan,10012
21,SPRING STREET,13,GLTR,Manhattan,10012
21,SPRING STREET,10,GLTR,Manhattan,10012
1,MILLIGAN PLACE,14,AIAL,Manhattan,10011
1,MILLIGAN PLACE,3,TADI,Manhattan,10011
1,MILLIGAN PLACE,12,AIAL,Manhattan,10011
1,MILLIGAN PLACE,16,AIAL,Manhattan,10011
4,MILLIGAN PLACE,20,AIAL,Manhattan,10011
423,AVENUE OF THE AMERICAS,15,PLAC,Manhattan,10011
425,AVENUE OF THE AMERICAS,17,ROPS,Manhattan,10011
425,AVENUE OF THE AMERICAS,14,ROPS,Manhattan,10011
10,PATCHIN PLACE,17,AIAL,Manhattan,10011
3,MILLIGAN PLACE,16,AIAL,Manhattan,10011
4,MILLIGAN PLACE,19,AIAL,Manhattan,10011
425,AVENUE OF THE AMERICAS,6,GIBI,Manhattan,10011
425,AVENUE OF THE AMERICAS,13,ROPS,Manhattan,10011
432,AVENUE OF THE AMERICAS,8,GLTR,Manhattan,10011
21,SPRING STREET,12,GLTR,Manhattan,10012
21,SPRING STREET,13,GLTR,Manhattan,10012
21,SPRING STREET,9,GLTR,Manhattan,10012
87,EAST HOUSTON STREET,4,GLTR,Manhattan,10012
85,EAST HOUSTON STREET,6,FRPE,Manhattan,10012
85,EAST HOUSTON STREET,0,,Manhattan,10012
87,EAST HOUSTON STREET,4,GLTR,Manhattan,10012
85,EAST HOUSTON STREET,13,PLAC,Manhattan,10012
85,EAST HOUSTON STREET,14,PLAC,Manhattan,10012
85,EAST HOUSTON STREET,15,PLAC,Manhattan,10012
85,EAST HOUSTON STREET,6,PLAC,Manhattan,10012
85,EAST HOUSTON STREET,15,PLAC,Manhattan,10012
85,EAST HOUSTON STREET,14,PLAC,Manhattan,10012
120,4 AVENUE,13,ROPS,Manhattan,10003
120,4 AVENUE,10,ROPS,Manhattan,10003
126,4 AVENUE,4,GLTR,Manhattan,10003
112,4 AVENUE,9,GLTR,Manhattan,10003
94,4 AVENUE,18,PYCA,Manhattan,10003
122,4 AVENUE,9,PLAC,Manhattan,10003
114,4 AVENUE,9,GLTR,Manhattan,10003
94,4 AVENUE,8,PYCA,Manhattan,10003
80,4 AVENUE,13,PYCA,Manhattan,10003
70,EAST   10 STREET,15,ROPS,Manhattan,10003
70,EAST   10 STREET,15,ROPS,Manhattan,10003
70,EAST   10 STREET,14,ROPS,Manhattan,10003
91,EAST    9 STREET,9,GLTR,Manhattan,10003
91,EAST    9 STREET,15,ROPS,Manhattan,10003
151,1 AVENUE,11,TITO,Manhattan,10003
155,1 AVENUE,9,TITO,Manhattan,10003
155,1 AVENUE,12,TITO,Manhattan,10003
159,1 AVENUE,3,STJA2,Manhattan,10003
150,1 AVENUE,5,ULAM,Manhattan,10009
150,1 AVENUE,14,TITO,Manhattan,10009
158,1 AVENUE,9,TICO,Manhattan,10009
160,1 AVENUE,6,TITO,Manhattan,10009
192,1 AVENUE,8,PYCA,Manhattan,10009
174,1 AVENUE,9,STJA2,Manhattan,10009
178,1 AVENUE,15,STJA2,Manhattan,10009
165,1 AVENUE,7,QURU,Manhattan,10003
167,1 AVENUE,6,GLTR,Manhattan,10003
173,1 AVENUE,6,TICO,Manhattan,10003
101,EAST    4 STREET,10,GLTR,Manhattan,10003
107,EAST    4 STREET,9,TICO,Manhattan,10003
113,EAST    4 STREET,9,TICO,Manhattan,10003
113,EAST    4 STREET,8,TICO,Manhattan,10003
125,EAST    4 STREET,11,GLTR,Manhattan,10003
133,EAST    4 STREET,6,ZESE,Manhattan,10003
86,EAST    4 STREET,8,GLTR,Manhattan,10003
86,EAST    4 STREET,8,GLTR,Manhattan,10003
86,EAST    4 STREET,8,GLTR,Manhattan,10003
88,EAST    4 STREET,3,PYCA,Manhattan,10003
96,EAST    4 STREET,4,TICO,Manhattan,10003
100,EAST    4 STREET,9,TICO,Manhattan,10003
104,EAST    4 STREET,9,TICO,Manhattan,10003
112,EAST    4 STREET,8,GLTR,Manhattan,10003
120,EAST    4 STREET,9,TICO,Manhattan,10003
86,EAST    4 STREET,9,TICO,Manhattan,10003
88,EAST    4 STREET,10,TICO,Manhattan,10003
98,EAST    4 STREET,8,GLTR,Manhattan,10003
104,EAST    4 STREET,6,TICO,Manhattan,10003
108,EAST    4 STREET,8,TICO,Manhattan,10003
120,EAST    4 STREET,9,TICO,Manhattan,10003
120,EAST    4 STREET,5,GIBI,Manhattan,10003
130,EAST    4 STREET,6,ZESE,Manhattan,10003
128,EAST    4 STREET,6,ZESE,Manhattan,10003
80,1 AVENUE,12,PLAC,Manhattan,10009
80,1 AVENUE,7,SYRE,Manhattan,10009
80,1 AVENUE,5,UL,Manhattan,10009
151,EAST    4 STREET,17,PLAC,Manhattan,10009
155,EAST    4 STREET,16,PLAC,Manhattan,10009
155,EAST    4 STREET,6,UL,Manhattan,10009
155,EAST    4 STREET,19,PLAC,Manhattan,10009
165,EAST    4 STREET,13,PLAC,Manhattan,10009
80,1 AVENUE,11,UL,Manhattan,10009
80,1 AVENUE,13,PLAC,Manhattan,10009
151,EAST    4 STREET,17,PLAC,Manhattan,10009
155,EAST    4 STREET,15,PLAC,Manhattan,10009
155,EAST    4 STREET,11,UL,Manhattan,10009
165,EAST    4 STREET,15,PLAC,Manhattan,10009
175,EAST    4 STREET,8,PLAC,Manhattan,10009
175,EAST    4 STREET,5,UNK,Manhattan,10009
175,EAST    4 STREET,5,UL,Manhattan,10009
175,EAST    4 STREET,10,UNK,Manhattan,10009
60,1 AVENUE,17,PLAC,Manhattan,10009
140,EAST    4 STREET,20,PLAC,Manhattan,10009
150,EAST    4 STREET,3,PYCA,Manhattan,10009
20,AVENUE A,5,UNK,Manhattan,10009
29,AVENUE A,7,UNK,Manhattan,10009
24,AVENUE A,2,GIBI,Manhattan,10009
60,1 AVENUE,16,PLAC,Manhattan,10009
60,1 AVENUE,7,UNK,Manhattan,10009
150,EAST    4 STREET,3,PYCA,Manhattan,10009
15,AVENUE A,24,QUPH,Manhattan,10009
29,AVENUE A,7,UNK,Manhattan,10009
35,AVENUE A,5,GLTR,Manhattan,10009
32,AVENUE A,4,UNK,Manhattan,10009
45,AVENUE A,6,GLTR,Manhattan,10009
36B,AVENUE A,11,TICO,Manhattan,10009
49,AVENUE A,5,GLTR,Manhattan,10009
172,EAST    4 STREET,9,GIBI,Manhattan,10009
7,EAST    3 STREET,5,PYCA,Manhattan,10003
11,EAST    3 STREET,4,GLTR,Manhattan,10003
21,EAST    3 STREET,3,GIBI,Manhattan,10003
25,EAST    3 STREET,2,,Manhattan,10003
8,EAST    3 STREET,4,PYCA,Manhattan,10003
8,EAST    3 STREET,4,ZESE,Manhattan,10003
7,EAST    3 STREET,4,PYCA,Manhattan,10003
13,EAST    3 STREET,4,GLTR,Manhattan,10003
23,EAST    3 STREET,2,GLTR,Manhattan,10003
53,EAST    3 STREET,9,GLTR,Manhattan,10003
8,EAST    3 STREET,3,,Manhattan,10003
8,EAST    3 STREET,5,ZESE,Manhattan,10003
24,EAST    3 STREET,4,ZESE,Manhattan,10003
44,EAST    3 STREET,6,GIBI,Manhattan,10003
24,EAST    3 STREET,2,,Manhattan,10003
40-42,EAST    3 STREET,10,GLTR,Manhattan,10003
46,EAST    3 STREET,6,GLTR,Manhattan,10003
54,EAST    3 STREET,12,PLAC,Manhattan,10003
64,EAST    3 STREET,9,GLTR,Manhattan,10003
72-74,EAST    3 STREET,7,GLTR,Manhattan,10003
78,EAST    3 STREET,8,GLTR,Manhattan,10003
45,EAST    3 STREET,9,PYCA,Manhattan,10003
48,EAST    3 STREET,8,GLTR,Manhattan,10003
58,EAST    3 STREET,7,GLTR,Manhattan,10003
64,EAST    3 STREET,9,GLTR,Manhattan,10003
72-74,EAST    3 STREET,8,GLTR,Manhattan,10003
88,EAST    3 STREET,6,GLTR,Manhattan,10003
47-49,EAST    3 STREET,6,PYCA,Manhattan,10003
57,EAST    3 STREET,5,,Manhattan,10003
81,EAST    3 STREET,2,GLTR,Manhattan,10003
55,EAST    3 STREET,8,TICO,Manhattan,10003
67,EAST    3 STREET,3,GLTR,Manhattan,10003
81,EAST    3 STREET,2,GLTR,Manhattan,10003
114,EAST    3 STREET,3,PYCA,Manhattan,10009
72,EAST    1 STREET,6,TICO,Manhattan,10003
106,EAST    1 STREET,9,FRPE,Manhattan,10009
86,EAST    1 STREET,9,ULAM,Manhattan,10009
86,EAST    1 STREET,11,PYCA,Manhattan,10009
72,EAST    1 STREET,9,TICO,Manhattan,10003
86,EAST    1 STREET,6,QUPA,Manhattan,10009
86,EAST    1 STREET,10,ULAM,Manhattan,10009
101,EAST    2 STREET,15,GLTR,Manhattan,10009
109,EAST    2 STREET,15,ROPS,Manhattan,10009
115,EAST    2 STREET,15,ROPS,Manhattan,10009
89-91,EAST    2 STREET,10,ROPS,Manhattan,10009
103,EAST    2 STREET,18,GLTR,Manhattan,10009
113,EAST    2 STREET,12,ROPS,Manhattan,10009
94,EAST    1 STREET,15,ROPS,Manhattan,10009
137,EAST    2 STREET,16,GLTR,Manhattan,10009
10-Jun,EAST    1 STREET,8,TICO,Manhattan,10003
10-Jun,EAST    1 STREET,0,,Manhattan,10003
18,2 AVENUE,7,TICO,Manhattan,10003
135,EAST    2 STREET,0,,Manhattan,10009
137,EAST    2 STREET,18,GLTR,Manhattan,10009
86,EAST    1 STREET,14,PYCA,Manhattan,10009
94,EAST    1 STREET,13,FRPE,Manhattan,10009
94,EAST    1 STREET,3,ZESE,Manhattan,10009
94,EAST    1 STREET,10,FRPE,Manhattan,10009
135,EAST HOUSTON STREET,8,FRPE,Manhattan,10002
139,EAST HOUSTON STREET,0,,Manhattan,10002
137,EAST HOUSTON STREET,17,PLAC,Manhattan,10002
143,EAST HOUSTON STREET,3,GLTR,Manhattan,10002
135,EAST HOUSTON STREET,8,FRPE,Manhattan,10002
143,EAST HOUSTON STREET,7,ROPS,Manhattan,10002
143,EAST HOUSTON STREET,5,PYCA,Manhattan,10002
249,ELDRIDGE STREET,7,FRPE,Manhattan,10002
147,EAST HOUSTON STREET,6,ROPS,Manhattan,10002
143,EAST HOUSTON STREET,5,PYCA,Manhattan,10002
143,EAST HOUSTON STREET,5,PYCA,Manhattan,10002
147,EAST HOUSTON STREET,6,ROPS,Manhattan,10002
249,ELDRIDGE STREET,4,ROPS,Manhattan,10002
189,EAST HOUSTON STREET,5,ZESE,Manhattan,10002
205,EAST HOUSTON STREET,12,FRPE,Manhattan,10002
195,EAST HOUSTON STREET,5,PYCA,Manhattan,10002
187,EAST HOUSTON STREET,6,FRPE,Manhattan,10002
201,EAST HOUSTON STREET,11,FRPE,Manhattan,10002
189,EAST HOUSTON STREET,12,PLAC,Manhattan,10002
195,EAST HOUSTON STREET,10,FRPE,Manhattan,10002
203,EAST HOUSTON STREET,5,PYCA,Manhattan,10002
205,EAST HOUSTON STREET,6,PLAC,Manhattan,10002
225,EAST HOUSTON STREET,15,QUPA,Manhattan,10002
175,ESSEX STREET,13,QUPA,Manhattan,10002
201,EAST HOUSTON STREET,11,PLAC,Manhattan,10002
205,EAST HOUSTON STREET,6,PLAC,Manhattan,10002
225,EAST HOUSTON STREET,10,GIBI,Manhattan,10002
179,ESSEX STREET,13,QUPA,Manhattan,10002
175,ESSEX STREET,17,QUPA,Manhattan,10002
166,ESSEX STREET,16,QUPA,Manhattan,10002
166,ESSEX STREET,14,QUPA,Manhattan,10002
133-135,ESSEX STREET,2,ZESE,Manhattan,10002
166,ESSEX STREET,16,QUPA,Manhattan,10002
166,ESSEX STREET,19,QUPA,Manhattan,10002
133-135,ESSEX STREET,2,ZESE,Manhattan,10002
130,ESSEX STREET,8,FRPE,Manhattan,10002
130,ESSEX STREET,6,FRPE,Manhattan,10002
142,ESSEX STREET,8,FRPE,Manhattan,10002
150,ESSEX STREET,8,FRPE,Manhattan,10002
152,ESSEX STREET,8,FRPE,Manhattan,10002
130,ESSEX STREET,9,FRPE,Manhattan,10002
140,ESSEX STREET,6,FRPE,Manhattan,10002
148,ESSEX STREET,3,ZESE,Manhattan,10002
152,ESSEX STREET,7,FRPE,Manhattan,10002
152,ESSEX STREET,7,GLTR,Manhattan,10002
460,GRAND STREET,11,PYCA,Manhattan,10002
460,GRAND STREET,9,PYCA,Manhattan,10002
460,GRAND STREET,9,PYCA,Manhattan,10002
460,GRAND STREET,13,GLTR,Manhattan,10002
460,GRAND STREET,15,GLTR,Manhattan,10002
460,GRAND STREET,14,PYCA,Manhattan,10002
460,GRAND STREET,5,UNK,Manhattan,10002
460,GRAND STREET,18,UNK,Manhattan,10002
460,GRAND STREET,8,PYCA,Manhattan,10002
460,GRAND STREET,0,,Manhattan,10002
460,GRAND STREET,8,ACPL,Manhattan,10002
460,GRAND STREET,8,GIBI,Manhattan,10002
460,GRAND STREET,8,ACPL,Manhattan,10002
460,GRAND STREET,7,ULAM,Manhattan,10002
460,GRAND STREET,9,GIBI,Manhattan,10002
460,GRAND STREET,5,GIBI,Manhattan,10002
111,4 AVENUE,8,GLTR,Manhattan,10003
111,4 AVENUE,10,GLTR,Manhattan,10003
85,4 AVENUE,6,ZESE,Manhattan,10003
111,4 AVENUE,3,GLTR,Manhattan,10003
111,4 AVENUE,8,GLTR,Manhattan,10003
85,4 AVENUE,4,ZESE,Manhattan,10003
109,EAST    9 STREET,6,ACPL,Manhattan,10003
115,EAST    9 STREET,10,GLTR,Manhattan,10003
105,EAST    9 STREET,12,PYCA,Manhattan,10003
115,EAST    9 STREET,11,GLTR,Manhattan,10003
115,EAST    9 STREET,6,,Manhattan,10003
115,EAST    9 STREET,8,PLAC,Manhattan,10003
109,EAST    9 STREET,5,GLTR,Manhattan,10003
105,EAST    9 STREET,3,GLTR,Manhattan,10003
105,EAST    9 STREET,6,GLTR,Manhattan,10003
118,AVENUE C,13,GIBI,Manhattan,10009
185,AVENUE C,2,PYCA,Manhattan,10009
643,EAST   13 STREET,8,ACPL,Manhattan,10009
643,EAST   13 STREET,7,ACPL,Manhattan,10009
144,AVENUE C,9,GIBI,Manhattan,10009
159,AVENUE C,12,GLTR,Manhattan,10009
183,AVENUE C,4,ACPL,Manhattan,10009
189,AVENUE C,9,PLAC,Manhattan,10009
643,EAST   13 STREET,6,GLTR,Manhattan,10009
643,EAST   13 STREET,8,ACPL,Manhattan,10009
155,AVENUE C,14,GLTR,Manhattan,10009
129,AVENUE C,2,ZESE,Manhattan,10009
134,AVENUE C,10,GLTR,Manhattan,10009
185,AVENUE C,6,GIBI,Manhattan,10009
131,AVENUE C,3,ZESE,Manhattan,10009
136,AVENUE C,7,GLTR,Manhattan,10009
167,AVENUE C,7,GLTR,Manhattan,10009
149,AVENUE C,8,GIBI,Manhattan,10009
131,AVENUE C,7,ZESE,Manhattan,10009
137,AVENUE C,14,GLTR,Manhattan,10009
115,AVENUE C,8,PYCA,Manhattan,10009
643,EAST   13 STREET,10,AC,Manhattan,10009
145,AVENUE C,6,GLTR,Manhattan,10009
155,AVENUE C,2,UNK,Manhattan,10009
137,AVENUE C,5,ZESE,Manhattan,10009
113,AVENUE C,16,PYCA,Manhattan,10009
123,AVENUE C,2,PYCA,Manhattan,10009
643,EAST   13 STREET,10,AC,Manhattan,10009
205,AVENUE C,5,QU,Manhattan,10009
205,AVENUE C,8,TI,Manhattan,10009
205,AVENUE C,13,ROPS,Manhattan,10009
665,11 AVENUE,5,GLTR,Manhattan,10019
535,WEST   48 STREET,6,GLTR,Manhattan,10036
527,WEST   58 STREET,0,,Manhattan,10019
535,WEST   48 STREET,9,GLTR,Manhattan,10036
521,WEST   48 STREET,12,GLTR,Manhattan,10036
899,10 AVENUE,9,TICO,Manhattan,10019
899,10 AVENUE,9,TICO,Manhattan,10019
899,10 AVENUE,11,TICO,Manhattan,10019
512,WEST   58 STREET,9,TICO,Manhattan,10019
518,WEST   58 STREET,9,TICO,Manhattan,10019
512,WEST   58 STREET,9,TICO,Manhattan,10019
516,WEST   58 STREET,9,TICO,Manhattan,10019
518,WEST   58 STREET,8,TICO,Manhattan,10019
600,west 59th street,9,GIBI,Manhattan,10019
600,WEST   57 STREET,5,GLTR,Manhattan,10019
504,WEST   57 STREET,11,GIBI,Manhattan,10019
510,WEST   57 STREET,5,TIAM,Manhattan,10019
514,WEST   57 STREET,5,TIAM,Manhattan,10019
524,WEST   57 STREET,5,TICO,Manhattan,10019
600,west 59th street,6,GIBI,Manhattan,10019
600,west 59th street,6,GIBI,Manhattan,10019
600,west 59th street,8,GIBI,Manhattan,10019
600,west 59th street,8,GIBI,Manhattan,10019
600,West 59th Street,0,,Manhattan,10019
600,west 59th street,8,GIBI,Manhattan,10019
600,west 59th street,8,GIBI,Manhattan,10019
600,west 59th street,7,GIBI,Manhattan,10019
600,west 59th street,8,GIBI,Manhattan,10019
600,west 59th street,7,GIBI,Manhattan,10019
524-528,WEST   57 STREET,8,GIBI,Manhattan,10019
600,west 59th street,7,GIBI,Manhattan,10019
500,WEST   57 STREET,8,GLTR,Manhattan,10019
508,WEST   57 STREET,4,CEOC,Manhattan,10019
510,WEST   57 STREET,5,TIAM,Manhattan,10019
514,WEST   57 STREET,4,TIAM,Manhattan,10019
524,WEST   57 STREET,5,TICO,Manhattan,10019
514-518,WEST   57 STREET,9,GIBI,Manhattan,10019
524-528,WEST   57 STREET,4,TIAM,Manhattan,10019
524-528,WEST   57 STREET,9,GIBI,Manhattan,10019
